time_s,u_i_V,u_R_V,u_L_V
0.001505244800000651,-3.0,2.402517332098995,-5.402517332098995
0.001510487680001302,-3.0,1.8642433881221052,-4.864243388122105
0.001520973440002604,-3.0,0.9409517583409879,-3.940951758340988
0.001541944960005208,-3.0,-0.42544834243060103,-2.574551657569399
0.001576682352903923,-3.0,-1.752967162211814,-1.247032837788186
0.001610915962512105,-3.0,-2.3890289567241063,-0.6109710432758937
0.001662405327285987,-3.0,-2.8043519853697365,-0.1956480146302635
0.00172072273016067,-3.0,-2.9484888127360813,-0.05151118726391868
0.00178072273016067,-3.0,-2.9871222031598736,-0.01287779684012635
0.00184072273016067,-3.0,-2.9967805507839316,-0.003219449216068426
0.00190072273016067,-3.0,-2.9991951376944734,-0.0008048623055265658
0.00196072273016067,-3.0,-2.9997987844232403,-0.0002012155767596724
0.002,-3.0,-2.9999122731282917,-8.772687170832683e-05
0.0020000001,-2.399999999795396,-2.9999110727061464,0.5999110729107504
0.0020000003,-1.19999999938619,-2.999906271871462,1.799906272485272
0.0020000007,1.200000001432224,-2.999882270317311,4.199882271749535
0.002000001,2.99999999944395,-2.9998516693155515,5.999851668759502
0.00200000108,3.0,-2.9998420695682526,5.999842069568253
0.00200000124,3.0,-2.9998228701043708,5.999822870104371
0.00200000156,3.0,-2.99978447136092,5.99978447136092
0.0020000022,3.0,-2.9997076746112716,5.999707674611272
0.00200000348,3.0,-2.9995540840609287,5.999554084060929
0.00200000604,3.0,-2.9992469147556964,5.999246914755696
0.002000011159999999,3.0,-2.998632623324019,5.998632623324019
0.002000021399999998,3.0,-2.9974042291516687,5.997404229151669
0.002000041879999996,3.0,-2.9949481953778108,5.994948195377811
0.002000082839999993,3.0,-2.9900391445687324,5.990039144568732
0.002000164759999985,3.0,-2.980233097558698,5.980233097558698
0.00200032859999997,3.0,-2.9606691233812894,5.960669123381289
0.002000656279999939,3.0,-2.9217328685765853,5.921732868576585
0.002001311639999879,3.0,-2.844620892651264,5.844620892651264
0.002002622359999757,3.0,-2.6933898780428676,5.693389878042868
0.002005243799999514,3.0,-2.402517328485871,5.402517328485871
0.002010486679999028,3.0,-1.8642433849798774,4.864243384979877
0.002020972439998056,3.0,-0.9409517559763989,3.940951755976399
0.002041943959996113,3.0,0.4254483437304182,2.574551656269582
0.002076681352894825,3.0,1.752967162841327,1.247032837158673
0.002110914962503524,3.0,2.3890289570396805,0.6109710429603195
0.002162404327295721,3.0,2.8043519855683114,0.1956480144316886
0.002220721730178821,3.0,2.9484888128015028,0.05151118719849723
0.002280721730178821,3.0,2.98712220317623,0.0128777968237701
0.002340721730178822,3.0,2.9967805507880203,0.003219449211979697
0.002400721730178822,3.0,2.999195137695495,0.0008048623045051606
0.002460721730178822,3.0,2.999798784423496,0.000201215576503877
0.002500001,3.0,2.999912277277475,8.77227225251076e-05
0.0025000011,2.400000000445918,2.9999110768553234,-0.5999110764094056
0.0025000013,1.200000000036711,2.999906276020622,-1.799906275983911
0.0025000017,-1.200000000781703,2.999882274466435,-4.199882275248138
0.002500002,-3.0,2.999851673464609,-5.999851673464609
